task,domain,source_anchor_pct,target_anchor_pct,metric,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,transfer_verdict
earlystop,math,90,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,90,20,stop_acc,0.741667,0.750000,0.733333,-0.008333,0.008334,tie
earlystop,math,90,30,auroc,0.929898,0.937504,0.938941,-0.007606,-0.009043,tie
earlystop,math,90,30,selacc@10%,0.997403,0.996104,0.997403,0.001299,0.000000,win
earlystop,math,90,30,stop_acc,0.741667,0.766667,0.758333,-0.025000,-0.016666,loss
earlystop,math,90,40,auroc,0.940926,0.945627,0.947742,-0.004701,-0.006816,tie
earlystop,math,90,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,90,40,stop_acc,0.741667,0.766667,0.758333,-0.025000,-0.016666,loss
earlystop,math,90,50,auroc,0.947767,0.950834,0.952795,-0.003067,-0.005028,tie
earlystop,math,90,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,90,50,stop_acc,0.758333,0.750000,0.741667,0.008333,0.016666,win
earlystop,math,90,60,auroc,0.952688,0.954784,0.956348,-0.002096,-0.003660,tie
earlystop,math,90,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,90,60,stop_acc,0.750000,0.741667,0.741667,0.008333,0.008333,win
earlystop,math,90,70,auroc,0.957051,0.958260,0.959111,-0.001209,-0.002060,tie
earlystop,math,90,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,90,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,90,80,auroc,0.959797,0.960316,0.961026,-0.000519,-0.001229,tie
earlystop,math,90,80,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,90,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,90,90,auroc,0.962936,0.963295,0.964069,-0.000359,-0.001133,tie
earlystop,math,90,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,90,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,90,100,auroc,0.965618,0.965784,0.966757,-0.000166,-0.001139,tie
earlystop,math,90,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,90,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,100,10,auroc,0.870281,0.895386,0.896373,-0.025105,-0.026092,loss
earlystop,math,100,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,100,10,stop_acc,0.733333,0.733333,0.716667,0.000000,0.016666,win
earlystop,math,100,20,auroc,0.906509,0.924461,0.924551,-0.017952,-0.018042,tie
earlystop,math,100,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,100,20,stop_acc,0.733333,0.750000,0.733333,-0.016667,0.000000,tie
earlystop,math,100,30,auroc,0.923980,0.937504,0.938941,-0.013524,-0.014961,tie
earlystop,math,100,30,selacc@10%,0.994805,0.996104,0.997403,-0.001299,-0.002598,tie
earlystop,math,100,30,stop_acc,0.741667,0.766667,0.758333,-0.025000,-0.016666,loss
earlystop,math,100,40,auroc,0.936862,0.945627,0.947742,-0.008765,-0.010880,tie
earlystop,math,100,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,100,40,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,100,50,auroc,0.945206,0.950834,0.952795,-0.005628,-0.007589,tie
earlystop,math,100,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,100,50,stop_acc,0.750000,0.750000,0.741667,0.000000,0.008333,win
earlystop,math,100,60,auroc,0.951172,0.954784,0.956348,-0.003612,-0.005176,tie
earlystop,math,100,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,100,60,stop_acc,0.758333,0.741667,0.741667,0.016666,0.016666,win
earlystop,math,100,70,auroc,0.956144,0.958260,0.959111,-0.002116,-0.002967,tie
earlystop,math,100,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,100,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,100,80,auroc,0.959067,0.960316,0.961026,-0.001249,-0.001959,tie
earlystop,math,100,80,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,100,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,100,90,auroc,0.962678,0.963295,0.964069,-0.000617,-0.001391,tie
earlystop,math,100,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,100,90,stop_acc,0.791667,0.783333,0.791667,0.008334,0.000000,win
earlystop,math,100,100,auroc,0.965466,0.965784,0.966757,-0.000318,-0.001291,tie
