summary_type,domain,metric,source_anchor_pct,target_anchor_pct,gap_pct,direction,pair_count,pair_label,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd
backward_gap_mean,math,stop_acc,,,40,backward,6,,0.7416666666666667,0.751389,0.7416666666666667,-0.009722333333333335,0.0
backward_gap_mean,math,stop_acc,,,50,backward,5,,0.7333336,0.7533334,0.7416666000000001,-0.0199998,-0.008333
backward_gap_mean,math,stop_acc,,,60,backward,4,,0.73541675,0.75416675,0.7416665,-0.01875,-0.00624975
backward_gap_mean,math,stop_acc,,,70,backward,3,,0.7333336666666667,0.75,0.7361110000000001,-0.016666333333333335,-0.0027773333333333335
backward_gap_mean,math,stop_acc,,,80,backward,2,,0.7375,0.7416665,0.7250000000000001,-0.004166500000000001,0.0125
backward_gap_mean,math,stop_acc,,,90,backward,1,,0.733333,0.733333,0.716667,0.0,0.016666
backward_gap_mean,science,auroc,,,10,backward,9,,0.7382166666666667,0.7385333333333333,0.7407501111111111,-0.00031666666666666665,-0.0025334444444444445
backward_gap_mean,science,auroc,,,20,backward,8,,0.73551075,0.7360445,0.73695175,-0.0005337499999999999,-0.0014409999999999998
backward_gap_mean,science,auroc,,,30,backward,7,,0.7318682857142856,0.7329534285714285,0.732748,-0.001085142857142857,-0.0008797142857142858
backward_gap_mean,science,auroc,,,40,backward,6,,0.7274808333333334,0.7289846666666667,0.7279973333333333,-0.0015038333333333334,-0.0005165
backward_gap_mean,science,auroc,,,50,backward,5,,0.722092,0.7238408,0.7223886,-0.0017488,-0.00029660000000000005
backward_gap_mean,science,auroc,,,60,backward,4,,0.7146455,0.7163415,0.714693,-0.001696,-4.749999999999999e-05
backward_gap_mean,science,auroc,,,70,backward,3,,0.7043833333333334,0.7062233333333333,0.7047573333333333,-0.0018400000000000003,-0.00037399999999999993
backward_gap_mean,science,auroc,,,80,backward,2,,0.6921595,0.6936055,0.6929345,-0.001446,-0.0007750000000000001
backward_gap_mean,science,auroc,,,90,backward,1,,0.679637,0.679012,0.67899,0.000625,0.000647
